001,"[0.01528278306609114, -0.15378176062590318, -0.28576459005753957]"
01,"[0.13747355821772153, -0.11390112231841537, -0.2278804987798715]"
05,"[0.015478991173392482, -0.12430075564606971, -0.2607172542213377]"
10,"[0.07760889449567583, -0.004137864491384901, -0.3610085873127406]"
100,"[-0.025620382571330782, -0.009900636313136604, -0.3490621580354076]"
11,"[0.01942165846919542, -0.0668582910227946, -0.34145729229905686]"
12,"[-0.0003301036417503332, -0.02724096088060374, -0.391412962928294]"
12 healthy,"[-0.03323899497976922, -0.12300850448360043, -0.3660485138826639]"
13,"[0.043014529001700975, -0.025797309642882075, -0.37785236577438297]"
14,"[-0.01912473264439959, 0.045569183972069334, -0.3525480763819026]"
14 healthy,"[-0.06788094983499367, 0.07077928142110526, -0.19906721134997085]"
15,"[-0.023799993269911487, -0.06089878673577018, -0.352062033988161]"
15 healthy,"[0.0406221773555279, -0.06126350011681721, -0.23160579143995916]"
16,"[0.06253793804241611, -0.023591145979947156, -0.35537131670363753]"
16 healthy,"[-0.027312785981144578, -0.09086725073544653, -0.2937934740165092]"
17,"[0.038432746309802514, 0.03174148386115689, -0.3206573838542548]"
18,"[0.07877136907314088, 0.032014396548613835, -0.3018084101537714]"
18 healthy,"[0.018934941331612366, -0.16911547084966044, -0.27914962170902535]"
19,"[0.0688911795457506, 0.1802293319761314, -0.3204882659405752]"
20,"[0.04315795192825319, 0.07572125526522851, -0.3409202616267289]"
20 healthy,"[0.01641451835445804, 0.1727385012028815, -0.21653338396229507]"
200,"[-0.08636356385067451, 0.033318625591652405, -0.2539789273665297]"
2014,"[-0.08302738673594681, 0.10881415686894697, -0.1754558650627101]"
21,"[0.15190499447788786, 0.011885263773567288, -0.2847853578968172]"
22,"[0.09373726792369488, 0.010294310815316478, -0.274498677629831]"
23,"[0.007155133985366829, 0.028555320393196294, -0.3001006108422169]"
24,"[0.052231860097009954, 0.009056421506340406, -0.3154779157854562]"
25,"[0.07943405362673597, -0.015477366589012786, -0.304438295208041]"
26,"[0.10761848475545947, -0.09498987817010368, -0.20030471970787359]"
27,"[0.03260804968872721, 0.016383538527940805, -0.2561636597426938]"
28,"[0.14821044774018885, -0.05110335231715712, -0.24544645153216071]"
29,"[0.09569409338638234, 0.08576099267810629, -0.1389606160260132]"
30,"[-0.06903797076993469, -0.05153702798824162, -0.300374180003716]"
31,"[0.0744120306298811, -0.0026602049799022694, -0.2495898950752832]"
32,"[0.09193797869902136, -0.06133276147717976, -0.31276938303872576]"
33,"[0.08685223206006658, 0.04996520181782753, -0.29673979682238827]"
34,"[0.07573456755916508, -0.042941455799645256, -0.2057297347927049]"
35,"[0.09186150017129627, -0.06895459434751416, -0.35888745346232376]"
36,"[-0.0021338729048629144, -0.07938616943226129, -0.30460870009882995]"
37,"[-0.023188206259753385, 0.1422442356033243, -0.3152854775349565]"
38,"[0.19351674253472675, -0.035998983869089146, -0.24865033128981465]"
39,"[0.20009525288616814, 0.12149114967579425, -0.18862370455301375]"
3d,"[-0.3595048666146772, 0.3507163349088106, -0.27027730690550783]"
3t,"[-0.022449869516561034, -0.16000185051734567, -0.34094082245274643]"
40,"[-0.027811620027315347, 0.03674199764164821, -0.41425339462808297]"
41,"[0.19676994039825307, -0.07433870988896651, -0.13604001696751467]"
42,"[0.10412145401542688, -0.0015508708786039565, -0.26239131486536604]"
43,"[0.15056599548454944, -0.1809411482878653, -0.210721674964736]"
44,"[-0.04165077965563577, -0.014845762099547914, -0.33116798782847356]"
45,"[0.007209246673197168, 0.01787744863664104, -0.3403388473610271]"
46,"[0.07274737635369888, 0.017238105892469387, -0.44850512689225325]"
